Sample in Buffer,Sample in Window,TRIGGER,ila_data[639:0],bram_address[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
78,78,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
79,79,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
80,80,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
81,81,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
82,82,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
83,83,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
84,84,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
85,85,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
86,86,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
87,87,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
88,88,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
89,89,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
90,90,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
91,91,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
92,92,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
93,93,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
94,94,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
95,95,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
96,96,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
97,97,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
98,98,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
99,99,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
100,100,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
101,101,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
102,102,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
103,103,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
104,104,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
105,105,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
106,106,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
107,107,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
108,108,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
109,109,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
110,110,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
111,111,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
112,112,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
113,113,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
114,114,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
115,115,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
116,116,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
117,117,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
118,118,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
